order_id,customer_id,order_date,amount,category,returned
O000151,C00421,2026-03-27,12755.33,electronics,0
O000152,C00421,2026-08-20,671.5,apparel,0
O000153,C00933,2026-08-31,3238.57,apparel,0
O000154,C00933,2026-06-22,10345.84,apparel,0
O000155,C00856,2026-08-11,774.9,beauty,0
O000156,C00856,2026-03-25,13060.12,grocery,0
O000157,C00225,2026-04-23,8550.68,apparel,0
O000158,C00225,2026-05-19,12013.45,home,0
O000159,C00225,2026-07-19,990.6,beauty,0
O000160,C00225,2026-07-23,14363.52,home,0
O000161,C00225,2026-08-01,1090.89,home,0
O000162,C00546,2026-07-06,12500.76,home,0
O000163,C00546,2026-06-27,8335.24,grocery,0
O000164,C00546,2026-06-16,10956.24,apparel,0
O000165,C00546,2026-07-02,2908.16,electronics,0
O000166,C00546,2026-06-14,2854.79,grocery,0
O000167,C00612,2026-08-27,6599.06,grocery,0
O000168,C00612,2026-08-07,2665.65,home,0
O000169,C00612,2026-06-30,7155.07,apparel,1
O000170,C00117,2026-06-04,14006.01,grocery,1
O000171,C00117,2026-08-30,4726.98,grocery,0
O000172,C00341,2026-04-06,11825.26,home,0
O000173,C00341,2026-08-30,14367.72,grocery,0
O000174,C00341,2026-03-30,7725.56,beauty,1
O000175,C00341,2026-03-25,6230.23,home,0
O000176,C00341,2026-06-03,3436.3,home,0
O000177,C00341,2026-03-13,4615.54,grocery,0
O000178,C00341,2026-07-28,14950.48,electronics,0
O000179,C00341,2026-08-18,5386.31,apparel,1
O000180,C00341,2026-06-21,9321.41,grocery,0
O000181,C00341,2026-06-14,886.2,home,0
O000182,C00084,2026-07-08,8241.49,home,0
O000183,C00084,2026-07-01,7897.96,home,1
O000184,C00084,2026-05-04,7778.41,beauty,0
O000185,C00084,2026-07-15,13504.74,apparel,1
O000186,C00084,2026-06-15,1510.48,electronics,0
O000187,C00084,2026-03-14,14357.26,grocery,1
O000188,C00084,2026-08-14,9515.92,apparel,0
O000189,C00084,2026-08-15,11671.66,beauty,0
O000190,C00689,2026-08-21,12482.61,beauty,0
O000191,C00689,2026-03-22,14114.34,apparel,0
O000192,C00689,2026-06-23,10837.96,electronics,0
O000193,C00582,2026-05-25,1335.5,apparel,0
O000194,C00582,2026-08-29,6292.2,beauty,0
O000195,C00582,2026-04-28,6665.47,electronics,0
O000196,C00915,2026-05-07,8162.07,grocery,1
O000197,C00915,2026-06-20,11265.48,electronics,1
O000198,C00915,2026-04-04,1367.06,grocery,1
O000199,C00915,2026-04-09,11867.31,home,1
O000200,C00915,2026-08-03,4438.31,beauty,1
O000201,C00915,2026-04-01,12385.2,electronics,1
O000202,C00915,2026-06-04,8141.98,apparel,1
O000203,C00915,2026-08-26,12012.53,grocery,1
O000204,C00722,2026-08-27,13738.28,home,0
O000205,C00722,2026-05-17,463.91,grocery,0
O000206,C00722,2026-06-18,914.07,grocery,0
O000207,C00722,2026-06-16,8196.14,electronics,0
O000208,C00722,2026-07-30,11299.96,home,0
O000209,C00722,2026-04-23,13612.73,grocery,0
O000210,C00828,2026-06-27,3545.58,home,0
O000211,C00828,2026-06-02,2965.96,grocery,0
O000212,C00828,2026-06-15,12815.4,grocery,0
O000213,C00828,2026-05-20,8380.07,home,0
O000214,C00510,2026-06-01,7461.7,home,0
O000215,C00510,2026-03-11,10168.04,apparel,0
O000216,C00510,2026-06-21,9406.88,apparel,1
O000217,C00510,2026-04-11,6924.5,grocery,0
O000218,C00510,2026-03-20,10493.83,apparel,0
O000219,C00510,2026-08-13,5658.05,home,0
O000220,C00510,2026-03-13,2779.0,home,0
O000221,C00510,2026-04-28,3556.43,beauty,0
O000222,C00510,2026-06-21,5584.44,home,0
O000223,C00510,2026-03-18,7103.87,home,0
O000224,C00510,2026-05-29,7458.48,electronics,0
O000225,C00510,2026-06-09,9217.43,home,0
O000226,C00214,2026-05-10,3187.55,electronics,0
O000227,C00214,2026-06-08,13413.95,grocery,0
O000228,C00214,2026-07-16,12245.84,grocery,0
O000229,C00214,2026-03-27,8973.53,electronics,0
O000230,C00747,2026-08-16,9912.45,apparel,0
O000231,C00747,2026-08-19,3582.61,grocery,0
O000232,C00747,2026-04-12,4577.69,beauty,0
O000233,C00747,2026-08-19,1631.14,home,0
O000234,C00747,2026-04-14,10041.37,grocery,0
O000235,C00747,2026-05-21,11430.93,apparel,0
O000236,C00747,2026-06-26,2933.43,grocery,0
O000237,C00747,2026-03-25,14525.71,beauty,0
O000238,C00747,2026-05-06,894.17,beauty,0
O000239,C00747,2026-07-02,4186.05,apparel,0
O000240,C00743,2026-05-26,7912.91,home,0
O000241,C00743,2026-03-26,13793.16,electronics,0
O000242,C00746,2026-08-04,7964.18,home,0
O000243,C00746,2026-07-12,4170.75,grocery,0
O000244,C00924,2026-07-16,9909.03,home,1
O000245,C00924,2026-03-25,13503.93,electronics,1
O000246,C00924,2026-04-08,5832.03,apparel,1
O000247,C00924,2026-06-16,5487.6,home,1
O000248,C00924,2026-08-29,7387.02,grocery,1
O000249,C00924,2026-06-14,13265.9,beauty,1
O000250,C00924,2026-07-17,1433.2,home,1
O000251,C00924,2026-08-14,3047.51,home,1
O000252,C00924,2026-07-01,12309.24,apparel,1
O000253,C00924,2026-04-30,5154.3,electronics,1
O000254,C00924,2026-08-09,7338.58,apparel,1
O000255,C00271,2026-04-10,934.22,grocery,1
O000256,C00271,2026-07-03,2280.44,grocery,0
O000257,C00271,2026-07-17,8712.36,electronics,1
O000258,C00271,2026-05-30,13859.97,grocery,0
O000259,C00271,2026-06-25,9110.56,grocery,0
O000260,C00271,2026-08-31,13214.08,home,0
O000261,C00271,2026-06-15,3483.92,grocery,0
O000262,C00271,2026-04-07,13049.35,apparel,0
O000263,C00271,2026-06-06,6338.27,apparel,0
O000264,C00271,2026-07-28,12360.66,apparel,0
O000265,C00271,2026-08-02,7808.83,apparel,0
O000266,C00359,2026-05-24,6966.01,grocery,0
O000267,C00359,2026-06-29,5859.71,apparel,1
O000268,C00359,2026-07-17,3274.52,grocery,1
O000269,C00359,2026-08-20,12449.76,grocery,0
O000270,C00359,2026-06-09,7295.28,grocery,1
O000271,C00359,2026-07-16,13202.96,grocery,0
O000272,C00359,2026-07-10,2027.49,beauty,0
O000273,C00359,2026-03-18,13559.18,grocery,0
O000274,C00359,2026-04-29,13485.44,beauty,0
O000275,C00359,2026-03-17,5744.55,electronics,0
O000276,C00359,2026-07-01,6605.66,beauty,0
O000277,C00359,2026-05-16,5904.18,grocery,0
O000278,C00390,2026-04-22,3717.94,electronics,0
O000279,C00390,2026-07-25,13188.46,beauty,0
O000280,C00390,2026-03-31,380.4,electronics,0
O000281,C00390,2026-04-28,2032.08,electronics,0
O000282,C00390,2026-08-31,3319.65,home,0
O000283,C00390,2026-08-09,1866.77,beauty,0
O000284,C00390,2026-03-26,4028.4,grocery,0
O000285,C00390,2026-08-09,5674.97,home,0
O000286,C00390,2026-06-29,6142.58,apparel,0
O000287,C00390,2026-05-30,11821.69,beauty,0
O000288,C00390,2026-03-30,8518.68,beauty,0
O000289,C00914,2026-05-16,8791.47,beauty,0
O000290,C00914,2026-05-30,12868.48,electronics,1
O000291,C00914,2026-03-17,6864.94,apparel,1
O000292,C00914,2026-06-12,7772.65,home,1
O000293,C00914,2026-08-30,9326.17,electronics,1
O000294,C00914,2026-06-24,14479.18,electronics,1
O000295,C00807,2026-07-11,1595.67,home,0
O000296,C00807,2026-04-26,1476.58,electronics,0
O000297,C00807,2026-04-12,13981.07,beauty,0
O000298,C00831,2026-06-11,4511.1,grocery,0
O000299,C00831,2026-05-03,11672.04,apparel,0
O000300,C00831,2026-07-17,6752.89,apparel,0
O000301,C00831,2026-08-29,13982.15,grocery,0
O000302,C00831,2026-08-12,794.06,grocery,0
O000303,C00831,2026-07-21,10567.21,grocery,0
O000304,C00831,2026-06-24,830.1,apparel,0
O000305,C00831,2026-06-25,14641.99,electronics,0
O000306,C00831,2026-04-21,11761.19,home,0
O000307,C00831,2026-05-12,6260.13,apparel,0
O000308,C00831,2026-07-27,11132.81,electronics,0
O000309,C00540,2026-05-21,8869.11,home,0
O000310,C00540,2026-05-16,4364.67,grocery,0
O000311,C00540,2026-03-29,6984.96,beauty,0
O000312,C00277,2026-08-07,2873.01,grocery,1
O000313,C00277,2026-06-06,1364.07,home,0
O000314,C00277,2026-06-29,2020.03,grocery,0
O000315,C00277,2026-08-10,13178.86,grocery,0
O000316,C00277,2026-08-22,6808.7,beauty,0
O000317,C00277,2026-08-12,11618.52,home,0
O000318,C00277,2026-07-14,7045.07,beauty,0
O000319,C00277,2026-07-17,12971.74,beauty,0
O000320,C00277,2026-07-11,1293.05,apparel,0
O000321,C00277,2026-05-25,3679.97,home,0
O000322,C00277,2026-04-13,5490.52,grocery,0
O000323,C00035,2026-05-04,6164.28,home,0
O000324,C00035,2026-07-11,13991.52,beauty,0
O000325,C00145,2026-03-17,13446.45,home,0
O000326,C00145,2026-08-27,11268.5,apparel,0
O000327,C00145,2026-07-04,3235.1,apparel,0
O000328,C00145,2026-09-04,3339.65,apparel,0
O000329,C00145,2026-05-29,12594.12,home,0
O000330,C00145,2026-07-23,1868.33,electronics,0
O000331,C00145,2026-07-11,10052.33,grocery,0
O000332,C00523,2026-05-02,7389.69,grocery,1
O000333,C00523,2026-08-18,13502.38,grocery,0
O000334,C00663,2026-07-05,14770.6,grocery,0
O000335,C00663,2026-05-21,3564.76,grocery,0
O000336,C00663,2026-05-22,8028.31,beauty,0
O000337,C00663,2026-06-23,8249.29,grocery,0
O000338,C00663,2026-04-26,12947.88,apparel,0
O000339,C00663,2026-07-26,2069.41,grocery,0
O000340,C00149,2026-04-29,5877.59,electronics,0
O000341,C00149,2026-07-05,9307.84,home,0
O000342,C00149,2026-05-31,4163.88,home,0
O000343,C00149,2026-03-13,9312.34,home,0
O000344,C00149,2026-04-29,6531.96,beauty,0
O000345,C00149,2026-06-04,5772.95,beauty,0
O000346,C00149,2026-06-16,2944.37,apparel,0
O000347,C00149,2026-05-08,10384.38,electronics,0
O000348,C00149,2026-04-07,12120.09,grocery,0
O000349,C00823,2026-03-21,3182.13,apparel,0
O000350,C00823,2026-06-03,443.21,beauty,0
O000351,C00823,2026-03-11,14934.76,grocery,0
O000352,C00823,2026-04-07,4941.19,beauty,0
O000353,C00823,2026-06-25,8563.44,grocery,0
O000354,C00823,2026-05-13,1754.93,apparel,1
O000355,C00823,2026-03-28,12263.13,beauty,1
O000356,C00823,2026-05-22,1715.64,home,0
O000357,C00083,2026-04-05,4088.41,electronics,0
O000358,C00083,2026-04-09,5461.03,grocery,0
O000359,C00083,2026-05-17,8765.65,grocery,0
O000360,C00083,2026-06-29,11770.54,home,0
O000361,C00083,2026-08-03,7803.53,beauty,0
O000362,C00083,2026-04-25,5901.74,home,0
O000363,C00200,2026-08-16,2429.27,apparel,0
O000364,C00200,2026-07-09,13949.93,beauty,0
O000365,C00200,2026-05-26,8703.07,electronics,0
O000366,C00200,2026-05-01,5351.29,home,1
O000367,C00200,2026-06-22,4582.94,home,0
O000368,C00200,2026-06-23,6113.19,beauty,0
O000369,C00200,2026-04-02,14099.92,grocery,0
O000370,C00200,2026-03-09,6919.24,apparel,0
O000371,C00200,2026-06-14,639.59,apparel,0
O000372,C00186,2026-06-28,3395.4,beauty,0
O000373,C00186,2026-08-09,1237.75,beauty,0
O000374,C00186,2026-08-07,687.56,beauty,0
O000375,C00186,2026-04-21,14941.4,electronics,0
O000376,C00186,2026-04-29,2582.53,beauty,0
O000377,C00186,2026-06-20,3936.73,home,0
O000378,C00186,2026-05-25,2158.25,grocery,0
O000379,C00186,2026-06-20,720.0,home,0
O000380,C00186,2026-07-22,5080.46,beauty,0
O000381,C00186,2026-06-14,13102.2,home,0
O000382,C00186,2026-04-22,2286.19,grocery,0
O000383,C00186,2026-07-06,9084.49,grocery,0
O000384,C00867,2026-03-16,9701.07,home,0
O000385,C00867,2026-08-26,7380.28,apparel,0
O000386,C00867,2026-06-01,6795.35,home,0
O000387,C00867,2026-04-04,2589.05,electronics,0
O000388,C00867,2026-04-28,12286.08,apparel,1
O000389,C00867,2026-05-24,7197.21,electronics,0
O000390,C00867,2026-06-10,7531.4,beauty,0
O000391,C00867,2026-04-07,11558.28,home,0
O000392,C00297,2026-08-02,6352.52,grocery,0
O000393,C00297,2026-06-19,3973.47,beauty,0
O000394,C00297,2026-06-03,3542.71,electronics,0
O000395,C00297,2026-07-03,3821.56,grocery,0
O000396,C00297,2026-06-28,10364.21,home,0
O000397,C00297,2026-03-22,8119.58,home,0
O000398,C00297,2026-05-30,12846.19,apparel,0
O000399,C00297,2026-03-13,1922.24,beauty,0
O000400,C00297,2026-07-08,4300.37,grocery,0
O000401,C00297,2026-08-17,5013.46,apparel,0
O000402,C00297,2026-03-21,8164.07,apparel,1
O000403,C00605,2026-03-26,2138.08,beauty,0
O000404,C00605,2026-05-06,3722.31,apparel,0
O000405,C00605,2026-03-23,3492.66,beauty,1
O000406,C00496,2026-04-19,10544.94,electronics,0
O000407,C00496,2026-08-17,12700.13,apparel,0
O000408,C00496,2026-03-30,11702.1,electronics,1
O000409,C00496,2026-06-30,2969.57,home,0
O000410,C00496,2026-08-29,12475.31,electronics,0
O000411,C00496,2026-08-02,10805.83,beauty,0
O000412,C00570,2026-07-27,14919.67,apparel,0
O000413,C00570,2026-04-26,11633.64,grocery,0
O000414,C00570,2026-05-17,3364.17,beauty,0
O000415,C00570,2026-07-15,4888.01,home,0
O000416,C00570,2026-08-02,11005.09,grocery,0
O000417,C00570,2026-07-03,4023.7,home,0
O000418,C00570,2026-07-11,13346.54,apparel,0
O000419,C00570,2026-08-14,3768.7,beauty,0
O000420,C00570,2026-04-09,2760.2,home,0
O000421,C00212,2026-08-15,917.3,beauty,1
O000422,C00212,2026-08-25,2578.38,electronics,0
O000423,C00212,2026-04-17,7648.81,grocery,0
O000424,C00212,2026-07-25,14553.88,electronics,0
O000425,C00212,2026-05-27,9775.25,grocery,1
O000426,C00212,2026-03-29,2149.66,apparel,0
O000427,C00212,2026-04-23,8507.75,home,0
O000428,C00212,2026-04-19,6749.17,apparel,0
O000429,C00212,2026-06-09,5853.2,apparel,1
O000430,C00212,2026-07-26,880.48,beauty,0
O000431,C00212,2026-05-27,8278.19,beauty,0
O000432,C00333,2026-08-29,8291.22,home,0
O000433,C00333,2026-03-09,4347.27,grocery,0
O000434,C00333,2026-05-14,8451.45,electronics,0
O000435,C00333,2026-04-14,6905.95,home,0
O000436,C00333,2026-04-26,6974.96,grocery,0
O000437,C00296,2026-03-17,5651.91,grocery,0
O000438,C00296,2026-09-03,10898.75,grocery,0
O000439,C00296,2026-04-27,3091.08,beauty,0
O000440,C00296,2026-05-10,2565.73,home,0
O000441,C00296,2026-06-25,9721.29,electronics,0
O000442,C00296,2026-06-16,9985.7,electronics,0
O000443,C00296,2026-03-27,2207.68,electronics,0
O000444,C00296,2026-05-25,7434.94,electronics,0
O000445,C00556,2026-05-12,12593.6,beauty,0
O000446,C00556,2026-08-07,10609.32,home,0
O000447,C00059,2026-08-17,13974.1,apparel,0
O000448,C00059,2026-07-22,13947.53,electronics,0
O000449,C00260,2026-03-13,1192.29,grocery,0
O000450,C00260,2026-09-01,13389.33,home,0
O000451,C00260,2026-04-10,1157.01,grocery,0
O000452,C00260,2026-05-17,897.6,electronics,0
O000453,C00260,2026-09-01,1445.65,apparel,0
O000454,C00260,2026-05-02,1727.65,apparel,0
O000455,C00260,2026-08-01,3085.07,grocery,0
O000456,C00260,2026-05-06,8679.41,apparel,0
O000457,C00260,2026-06-13,8504.68,electronics,0
O000458,C00036,2026-04-06,6578.0,electronics,0
O000459,C00036,2026-04-28,2951.83,beauty,0
O000460,C00036,2026-04-02,9965.72,grocery,0
O000461,C00036,2026-07-06,6812.28,home,0
O000462,C00036,2026-03-27,8386.2,home,0
O000463,C00036,2026-05-31,6361.45,beauty,0
O000464,C00036,2026-05-09,5054.73,apparel,0
O000465,C00036,2026-07-13,3444.74,grocery,0
O000466,C00036,2026-03-15,4035.11,beauty,0
O000467,C00036,2026-08-25,6137.23,electronics,0
O000468,C00036,2026-04-15,9057.71,grocery,0
O000469,C00036,2026-07-22,13387.77,electronics,0
O000470,C00207,2026-05-04,3457.9,home,0
O000471,C00207,2026-05-01,12382.52,home,1
O000472,C00207,2026-03-14,7815.69,grocery,0
O000473,C00207,2026-08-08,2574.31,electronics,0
O000474,C00207,2026-06-27,2594.77,home,0
O000475,C00207,2026-05-28,8857.69,apparel,0
O000476,C00118,2026-05-26,13792.86,electronics,0
O000477,C00118,2026-08-20,11955.69,apparel,0
O000478,C00118,2026-03-21,13515.65,grocery,0
O000479,C00118,2026-06-08,1701.85,home,0
O000480,C00118,2026-08-02,12182.62,beauty,1
O000481,C00118,2026-07-30,1122.06,home,1
O000482,C00916,2026-06-11,6684.27,electronics,0
O000483,C00916,2026-08-30,3632.75,grocery,0
O000484,C00916,2026-09-02,9618.14,beauty,0
O000485,C00916,2026-08-01,8008.44,home,1
O000486,C00916,2026-03-21,2498.83,grocery,1
O000487,C00916,2026-08-05,2552.0,beauty,0
O000488,C00916,2026-06-17,11366.75,grocery,0
O000489,C00455,2026-04-02,2475.78,home,0
O000490,C00455,2026-07-22,8700.18,electronics,1
O000491,C00455,2026-04-28,4159.6,beauty,0
O000492,C00455,2026-07-02,11675.23,apparel,0
O000493,C00455,2026-06-21,7369.56,apparel,0
O000494,C00455,2026-06-28,9888.05,apparel,0
O000495,C00455,2026-08-02,14957.06,grocery,0
O000496,C00455,2026-06-23,1353.17,beauty,0
O000497,C00455,2026-07-09,13884.83,electronics,0
O000498,C00455,2026-03-17,6379.66,home,1
O000499,C00138,2026-06-23,5364.52,electronics,0
O000500,C00138,2026-06-22,2788.05,home,0
O000501,C00138,2026-09-01,14855.34,beauty,0
O000502,C00138,2026-07-28,6774.81,apparel,0
O000503,C00138,2026-03-09,5795.17,electronics,0
O000504,C00138,2026-08-24,1101.71,grocery,0
O000505,C00138,2026-05-25,13070.66,home,0
O000506,C00473,2026-06-06,7226.5,home,0
O000507,C00473,2026-08-17,8208.68,apparel,0
O000508,C00218,2026-06-24,4102.27,beauty,0
O000509,C00218,2026-04-06,14886.84,electronics,0
O000510,C00218,2026-03-27,13618.79,grocery,0
O000511,C00218,2026-04-30,2803.7,home,1
O000512,C00218,2026-03-24,10538.94,home,0
O000513,C00218,2026-06-02,9924.94,electronics,1
O000514,C00218,2026-04-30,10007.48,home,1
O000515,C00218,2026-05-28,580.45,beauty,0
O000516,C00218,2026-06-17,5896.31,electronics,0
O000517,C00218,2026-08-20,7424.53,grocery,0
O000518,C00444,2026-03-29,8542.11,electronics,0
O000519,C00444,2026-08-08,13857.37,home,1
O000520,C00444,2026-04-21,6082.98,apparel,0
O000521,C00444,2026-08-19,10359.38,home,1
O000522,C00444,2026-05-11,3772.21,grocery,0
O000523,C00444,2026-07-07,1211.54,home,0
O000524,C00444,2026-04-13,13388.91,electronics,0
O000525,C00444,2026-09-03,14252.01,apparel,0
O000526,C00444,2026-05-24,13488.48,apparel,0
O000527,C00444,2026-07-08,5918.44,grocery,1
O000528,C00804,2026-05-21,6434.8,grocery,0
O000529,C00804,2026-04-29,14566.9,grocery,0
O000530,C00804,2026-06-23,8270.84,apparel,0
O000531,C00804,2026-05-29,8841.15,apparel,0
O000532,C00804,2026-07-06,4842.28,grocery,0
O000533,C00804,2026-07-15,6621.95,apparel,0
O000534,C00804,2026-06-21,8603.21,apparel,0
O000535,C00804,2026-07-06,8492.9,electronics,0
O000536,C00804,2026-08-12,12640.98,apparel,0
O000537,C00804,2026-09-02,11551.89,beauty,0
O000538,C00804,2026-04-26,4759.22,home,0
O000539,C00804,2026-07-22,3062.62,apparel,0
O000540,C00753,2026-06-29,9202.39,grocery,0
O000541,C00753,2026-05-24,3713.08,electronics,0
O000542,C00753,2026-07-22,10415.68,beauty,0
O000543,C00753,2026-07-07,12738.23,beauty,1
O000544,C00273,2026-06-23,12826.3,beauty,0
O000545,C00273,2026-06-02,2707.66,apparel,0
O000546,C00273,2026-05-08,11538.72,electronics,1
